inscription_id,mutant_name,inscription_number,sat_number,Alpha,Black Uncommon,Block 286,Block 666,Block 78,Block 9,Block 9 450x,Common,First Transaction,Hitman,JPEG,Nakamoto,Omega,Paliblock Palindrome,Palindrome,Pizza,Silk Road,Uncommon,Vintage
28fb4c434b2f98ff45c655958aa14a1923264ed0a09c3a80dc1205a155b9e306i3,ORDIMUTANT #2129,3,3071337215246,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
28fb4c434b2f98ff45c655958aa14a1923264ed0a09c3a80dc1205a155b9e306i4,ORDIMUTANT #4258,4,3071337215576,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
293208c7a4d5cbd4f220f03e55d691ce52071b6544d87817b60ff8a2fc7ea78ci0,ORDIMUTANT #1046,0,144432016801174,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
293208c7a4d5cbd4f220f03e55d691ce52071b6544d87817b60ff8a2fc7ea78ci1,ORDIMUTANT #3877,1,144432016801504,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
293208c7a4d5cbd4f220f03e55d691ce52071b6544d87817b60ff8a2fc7ea78ci2,ORDIMUTANT #1316,2,144432016801834,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
293208c7a4d5cbd4f220f03e55d691ce52071b6544d87817b60ff8a2fc7ea78ci3,ORDIMUTANT #1691,3,144432016802164,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
2954c10c0e19869710cbb23a1fb4ce358c9611a50f293ee102592149801c1319i0,ORDIMUTANT #59,0,1430690189549,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
2a2376b85dcfc0555cf2b8561b6e557e823017827147d4f8053236341231a4aci0,ORDIMUTANT #3585,0,3330194931009,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2a2376b85dcfc0555cf2b8561b6e557e823017827147d4f8053236341231a4aci1,ORDIMUTANT #4276,1,3330194931339,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2aa46f7675aa9d6d080b6b39918dcbd37b68cbf699adf07ec7905c9a961973fai0,ORDIMUTANT OG#142,0,1931012299999999,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei0,ORDIMUTANT #3393,0,281101330287394,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei1,ORDIMUTANT #2141,1,281101330287724,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei2,ORDIMUTANT #1195,2,281101330288054,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei3,ORDIMUTANT #3068,3,281101330288384,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei4,ORDIMUTANT #2732,4,281101330288714,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei5,ORDIMUTANT #3656,5,281101330289044,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2ad4497251e73510ae262425e99de91c607b939bee78ceca7e53b57040075a4ei6,ORDIMUTANT #2589,6,281101330289374,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
